High,Low,Close
6.0,5.8,6.0
5.61,5.57,5.61
5.02,5.02,5.02
4.81,4.81,4.81
4.82,4.81,4.82
4.9,4.9,4.9
5.55,5.5,5.55
5.79,5.79,5.79
5.72,5.72,5.72
5.72,5.7,5.72
5.73,5.7,5.73
4.82,4.82,4.82
5.3,5.3,5.3
4.92,4.89,4.92
4.96,4.86,4.96
4.99,4.89,4.99
4.99,4.99,4.99
4.5,3.99,3.99
2.99,2.92,2.92
4.36,4.2,4.2
4.4,4.36,4.4
3.95,3.95,3.95
3.85,3.85,3.85
3.2,3.2,3.2
3.55,3.25,3.55
3.32,3.21,3.21
3.21,3.21,3.21
3.21,3.21,3.21
3.25,3.25,3.25
2.95,2.95,2.95
3.3,3.3,3.3
3.35,3.35,3.35
2.79,2.79,2.79
2.47,2.47,2.47
2.99,2.99,2.99
3.0,3.0,3.0
2.99,2.5,2.99
2.5,2.5,2.5
2.43,2.43,2.43
2.33,2.25,2.25
2.59,2.53,2.59
2.46,2.46,2.46
3.0,3.0,3.0
15.0,15.0,15.0
2.67,2.67,2.67
3.46,3.46,3.46
3.42,3.3,3.42
3.45,3.45,3.45
3.08,3.08,3.08
3.04,3.04,3.04
2.93,2.93,2.93
3.0,3.0,3.0
3.03,3.03,3.03
3.5,2.95,3.5
3.3,3.3,3.3
3.2,3.2,3.2
3.56,3.56,3.56
3.39,3.39,3.39
3.25,3.25,3.25
3.5,3.5,3.5
3.5,3.5,3.5
4.53,4.53,4.53
4.38,4.38,4.38
4.17,4.17,4.17
4.17,4.17,4.17
4.35,4.35,4.35
4.33,4.33,4.33
4.27,4.27,4.27
4.27,4.27,4.27
4.29,4.29,4.29
4.3,4.3,4.3
4.57,4.5,4.57
4.58,4.58,4.58
5.0,5.0,5.0
4.93,4.93,4.93
5.19,5.19,5.19
5.37,5.36,5.37
6.0,6.0,6.0
6.4,6.4,6.4
6.3,6.0,6.0
6.99,6.9,6.9
6.9,6.5,6.5
6.6,6.6,6.6
6.25,6.25,6.25
7.2,7.2,7.2
7.3,7.3,7.3
6.7,6.7,6.7
6.7,6.7,6.7
7.34,6.72,6.72
6.5,6.5,6.5
6.2,6.2,6.2
6.9,6.9,6.9
6.0,6.0,6.0
6.1,6.02,6.02
6.09,6.09,6.09
6.07,6.07,6.07
6.28,6.22,6.22
6.9,6.9,6.9
6.9,6.85,6.85
6.95,6.95,6.95
6.79,6.28,6.28
6.83,6.03,6.83
6.0,6.0,6.0
6.35,6.35,6.35
6.55,6.55,6.55
