High,Low,Close
3587.88,3578.73,3582.99
3588.4,3583.01,3588.03
3591.83,3587.75,3591.83
3591.58,3589.58,3590.62
3591.86,3590.29,3591.16
3591.18,3590.02,3590.65
3596.42,3591.34,3596.41
3602.86,3597.27,3602.43
3605.49,3602.57,3604.35
3604.11,3602.7,3602.7
3602.61,3601.56,3601.79
3601.58,3599.29,3600.4
3602.7,3600.28,3602.7
3603.31,3600.95,3601.05
3600.82,3598.58,3598.85
3600.52,3598.6,3599.74
3601.35,3599.87,3601.02
3601.57,3600.7,3601.11
3603.04,3601.07,3601.34
3602.69,3601.15,3602.69
3602.86,3602.15,3602.15
3602.39,3601.42,3601.89
3602.54,3601.55,3601.55
3601.85,3600.46,3601.22
3601.58,3600.66,3600.72
3600.88,3599.07,3599.85
3599.85,3598.1,3598.47
3598.45,3590.6,3590.63
3592.4,3590.32,3592.18
3593.72,3592.13,3593.72
3595.29,3593.78,3595.2
3595.8,3594.84,3595.26
3596.26,3594.81,3595.73
3597.04,3595.31,3597.04
3599.26,3596.55,3598.63
3599.48,3598.06,3598.4
3598.92,3598.16,3598.37
3598.57,3597.74,3597.96
3599.13,3597.75,3598.77
3600.24,3598.62,3600.24
3600.78,3599.95,3599.98
3600.05,3599.54,3599.79
3599.99,3598.9,3599.0
3599.31,3598.63,3598.76
3599.38,3598.31,3598.77
3598.91,3596.95,3596.95
3597.19,3596.21,3596.22
3596.85,3596.07,3596.85
3596.93,3596.24,3596.42
3596.32,3595.69,3595.84
3596.15,3595.27,3595.63
3596.02,3595.47,3595.59
3595.76,3595.25,3595.31
3596.48,3595.15,3596.4
3596.3,3595.16,3595.16
3595.3,3594.6,3595.3
3595.36,3594.73,3595.31
3595.37,3594.59,3594.93
3595.36,3594.59,3594.74
3595.11,3594.45,3594.79
3595.19,3594.28,3594.55
3594.71,3593.58,3593.99
3594.9,3593.73,3594.78
3595.17,3594.15,3594.15
3594.8,3594.0,3594.31
3595.51,3594.67,3595.51
3595.64,3594.96,3595.44
3595.87,3595.25,3595.52
3596.29,3595.19,3595.47
3596.15,3595.39,3595.62
3596.45,3595.55,3596.45
3596.55,3595.43,3596.52
3596.51,3595.8,3596.33
3596.63,3595.92,3596.63
3596.65,3596.19,3596.65
3599.13,3596.12,3598.9
3599.68,3598.47,3599.68
3599.73,3599.0,3599.67
3600.29,3599.52,3599.92
3602.06,3599.76,3602.05
3602.07,3601.45,3601.83
3602.8,3601.63,3602.8
3602.74,3602.33,3602.61
3602.75,3601.81,3602.14
3602.16,3600.86,3600.96
3601.49,3600.94,3601.27
3601.69,3600.37,3600.69
3600.68,3600.13,3600.5
3602.05,3600.91,3601.82
3602.18,3601.4,3602.04
3603.07,3601.88,3603.07
3603.93,3602.53,3603.93
3603.62,3603.14,3603.42
3603.87,3602.97,3603.28
3603.48,3602.06,3602.06
3603.07,3601.99,3602.56
3603.93,3602.25,3603.81
3604.12,3603.41,3604.11
3603.96,3602.89,3603.79
3605.95,3603.87,3603.91
3604.76,3603.85,3604.64
3604.41,3603.95,3604.33
3609.6,3604.08,3609.6
3617.31,3610.34,3617.31
3617.87,3616.03,3617.51
3618.86,3616.09,3618.42
3623.31,3618.36,3623.23
3625.02,3622.0,3623.99
3628.72,3623.61,3628.22
3631.61,3627.92,3631.35
3630.88,3628.69,3628.69
3629.09,3627.27,3628.61
3631.13,3628.41,3630.43
3630.97,3629.28,3630.97
3633.33,3631.34,3632.3
3632.29,3630.88,3631.5
3631.78,3630.82,3631.78
3633.5,3631.6,3633.34
3635.74,3633.43,3634.7
3635.36,3634.25,3635.04
3635.29,3634.26,3635.08
3634.96,3634.09,3634.28
3636.48,3634.6,3636.25
3637.72,3636.25,3637.0
3636.57,3634.3,3634.3
3635.82,3633.6,3635.7
3638.13,3635.65,3637.15
3638.42,3636.86,3637.3
3637.38,3636.45,3636.79
3636.63,3634.98,3634.98
3636.4,3634.74,3636.38
3636.65,3636.01,3636.47
3637.44,3635.72,3635.72
3635.89,3635.14,3635.4
3636.67,3635.37,3636.67
3637.07,3636.33,3636.54
3636.83,3635.68,3635.68
3637.13,3635.93,3636.95
3636.78,3635.14,3635.26
3635.63,3634.91,3635.63
3635.98,3634.66,3635.26
3635.43,3634.36,3634.36
3634.67,3633.87,3634.3
3634.46,3633.88,3634.22
3634.87,3634.06,3634.73
