High,Low,Close
2989.61,2946.8,2970.02
2979.88,2961.14,2971.12
2969.0,2942.69,2947.19
2967.65,2947.44,2966.24
2988.99,2964.48,2979.82
2986.07,2967.79,2977.21
2981.51,2943.42,2949.29
2952.79,2914.0,2924.01
2943.09,2922.91,2936.32
2951.77,2925.13,2948.22
2963.22,2948.11,2963.06
2965.6,2940.77,2962.5
2976.33,2957.21,2959.9
2957.55,2929.78,2937.71
2944.92,2927.62,2940.87
2940.02,2916.08,2937.83
2960.9,2932.56,2958.61
2967.62,2954.36,2956.43
2970.81,2948.55,2970.81
2977.99,2950.68,2955.89
2987.88,2958.07,2984.75
3008.85,2982.06,3008.85
3022.87,3008.92,3021.95
3023.85,3001.87,3010.39
3038.31,3011.58,3037.13
3055.27,3037.21,3051.97
3058.09,3044.78,3056.65
3064.3,3036.16,3044.36
3056.8,3035.37,3044.0
3080.08,3046.36,3079.85
3083.38,3065.27,3075.76
3091.64,3071.08,3086.95
3087.3,3057.17,3068.55
3082.69,3064.96,3067.34
3080.91,3062.52,3072.04
3079.89,3054.91,3063.64
3062.99,3029.22,3045.24
3042.65,3007.08,3028.08
3032.97,3020.33,3024.8
3062.79,3029.07,3062.72
3081.86,3058.32,3058.35
3082.87,3054.03,3078.44
3082.71,3060.09,3082.71
3091.09,3072.08,3078.11
3106.86,3079.06,3106.86
3117.77,3106.42,3114.54
3113.82,3093.64,3097.34
3115.06,3078.07,3081.99
3079.01,3048.6,3053.62
3073.75,3057.56,3060.36
3065.04,3050.05,3060.72
3086.48,3062.77,3083.73
3083.33,3030.43,3032.13
3045.04,3025.33,3039.8
3062.94,3040.38,3053.54
3059.18,3037.8,3038.14
3053.18,3021.66,3050.44
3040.82,3019.29,3036.85
3063.41,3037.2,3060.67
3069.8,3037.81,3068.49
3067.3,3045.56,3056.21
3080.25,3053.9,3055.73
3077.97,3053.37,3061.11
3060.0,3026.18,3042.17
3065.44,3046.56,3064.07
3076.23,3064.09,3076.23
3092.99,3070.02,3090.72
3100.72,3083.87,3088.92
3088.47,3073.75,3080.6
3081.53,3058.51,3065.18
3086.65,3065.92,3080.54
3086.02,3065.49,3075.33
3074.21,3013.79,3013.89
3009.93,2931.18,2947.79
2966.64,2948.38,2957.37
2974.58,2936.57,2944.33
2967.15,2933.68,2950.34
2981.0,2950.35,2976.39
2990.29,2966.17,2987.05
2990.88,2968.67,2983.22
2981.82,2930.96,2942.62
2955.25,2913.19,2930.87
2944.36,2911.48,2930.1
2957.46,2931.97,2949.09
2962.59,2944.6,2962.59
2981.04,2955.26,2981.04
3008.38,2981.64,3004.52
3022.54,2994.31,3019.26
3018.32,2999.17,3007.1
3017.59,2978.91,2983.42
2990.1,2965.88,2970.5
2998.31,2983.04,2993.09
2994.52,2971.44,2994.52
2994.27,2980.55,2988.16
2996.95,2976.73,2983.84
3036.3,2984.63,3036.3
3055.14,3034.88,3051.79
3060.3,3046.21,3050.45
3074.13,3051.53,3070.98
3071.55,3053.88,3066.55
3072.06,3054.84,3059.84
3089.54,3060.04,3086.08
3091.66,3072.9,3084.0
3096.54,3070.48,3096.54
3096.84,3076.53,3076.75
3125.88,3077.86,3125.88
3139.91,3119.4,3131.03
3138.1,3108.25,3114.27
3119.46,3094.43,3099.2
3138.29,3099.99,3134.82
3132.62,3115.73,3125.59
3126.66,3109.2,3122.93
3153.09,3126.26,3143.85
3160.86,3137.88,3159.83
3163.82,3148.63,3162.86
3172.87,3142.02,3147.55
3167.68,3147.88,3160.09
3193.34,3160.55,3178.48
3178.36,3150.02,3162.14
3183.06,3163.04,3179.62
