High,Low,Close
1.953125,1.552083,1.640625
1.833333,1.640625,1.8125
1.869792,1.645833,1.671875
1.71875,1.583333,1.666667
1.677083,1.651042,1.661458
1.666667,1.583333,1.583333
1.625,1.583333,1.614583
1.625,1.442708,1.489583
1.541667,1.458333,1.520833
1.645833,1.520833,1.604167
1.666667,1.588542,1.651042
1.666667,1.59375,1.59375
1.635417,1.510417,1.53125
1.572917,1.489583,1.515625
1.708333,1.520833,1.645833
1.75,1.666667,1.739583
1.84375,1.572917,1.75
1.729167,1.625,1.65625
1.729167,1.635417,1.682292
1.770833,1.645833,1.739583
1.791667,1.65625,1.75
1.869792,1.6875,1.833333
2.1875,1.932292,1.979167
2.125,1.885417,1.916667
2.0,1.8125,1.828125
1.916667,1.75,1.838542
1.84375,1.791667,1.822917
1.833333,1.6875,1.697917
1.791667,1.645833,1.661458
1.760417,1.677083,1.755208
1.833333,1.677083,1.78125
1.864583,1.776042,1.838542
1.864583,1.78125,1.807292
1.807292,1.729167,1.729167
1.739583,1.666667,1.697917
1.791667,1.729167,1.770833
1.802083,1.697917,1.713542
1.760417,1.682292,1.723958
1.770833,1.6875,1.744792
1.802083,1.739583,1.75
1.791667,1.697917,1.697917
1.708333,1.5625,1.59375
1.59375,1.520833,1.583333
1.666667,1.572917,1.604167
1.75,1.625,1.744792
1.838542,1.765625,1.796875
1.817708,1.635417,1.645833
1.78125,1.619792,1.760417
1.770833,1.677083,1.708333
1.729167,1.645833,1.65625
1.677083,1.583333,1.614583
1.760417,1.614583,1.75
1.833333,1.739583,1.78125
1.791667,1.739583,1.75
1.729167,1.645833,1.677083
1.708333,1.583333,1.609375
1.640625,1.5625,1.5625
1.604167,1.5625,1.604167
1.682292,1.59375,1.65625
1.677083,1.5625,1.583333
1.645833,1.536458,1.552083
1.583333,1.541667,1.578125
1.583333,1.494792,1.510417
1.510417,1.427083,1.4375
1.458333,1.333333,1.364583
1.520833,1.375,1.510417
1.520833,1.453125,1.5
1.510417,1.46875,1.5
1.583333,1.505208,1.520833
1.536458,1.489583,1.53125
1.53125,1.416667,1.447917
1.479167,1.375,1.479167
1.5,1.40625,1.450517
1.46875,1.40625,1.458333
1.489583,1.447917,1.458333
1.583333,1.489583,1.536458
1.588542,1.53125,1.583333
1.625,1.578125,1.583333
1.583333,1.479167,1.5
1.572917,1.473958,1.572917
1.666667,1.541667,1.645833
1.78125,1.546875,1.572917
1.583333,1.390625,1.447917
1.427083,1.375,1.416667
1.458333,1.390625,1.411458
1.4375,1.40625,1.421875
1.489583,1.416667,1.416667
1.427083,1.40625,1.40625
1.427083,1.40625,1.421875
1.427083,1.395833,1.427083
1.427083,1.375,1.375
1.421875,1.395833,1.411458
1.427083,1.411458,1.421875
1.458333,1.427083,1.4375
1.5,1.4375,1.473958
1.53125,1.479167,1.5
1.510417,1.489583,1.505208
1.510417,1.421875,1.473958
1.479167,1.40625,1.416667
1.427083,1.395833,1.416667
1.5,1.416667,1.458333
1.46875,1.416667,1.416667
1.427083,1.364583,1.364583
1.4375,1.368483,1.4375
1.4375,1.380208,1.411458
1.4375,1.380208,1.4375
1.447917,1.395833,1.40625
1.442708,1.395833,1.427083
1.473958,1.416667,1.447917
1.484375,1.447917,1.463542
1.59375,1.479167,1.59375
1.59375,1.427083,1.510417
1.619792,1.5,1.619792
1.635417,1.604167,1.625
1.635417,1.59375,1.59375
1.65625,1.552083,1.630208
1.78125,1.625,1.768225
1.927083,1.802083,1.848958
1.880208,1.770833,1.854167
1.895833,1.770833,1.78125
1.854167,1.791667,1.791667
1.84375,1.791667,1.828125
1.838542,1.770833,1.78125
1.78125,1.6875,1.75
1.729167,1.645833,1.697917
1.6875,1.604167,1.619792
1.666667,1.614583,1.619792
1.661458,1.625,1.625
1.635417,1.604167,1.630208
1.677083,1.619792,1.65625
1.677083,1.614583,1.671875
1.71875,1.666667,1.677083
1.697917,1.666667,1.692708
1.692708,1.635417,1.651042
1.666667,1.645833,1.651042
1.677083,1.625,1.677083
1.682292,1.666667,1.677083
1.697917,1.666667,1.677083
1.78125,1.677083,1.708333
1.84375,1.71875,1.822917
1.958333,1.822917,1.911458
1.932292,1.875,1.890625
1.90625,1.755208,1.817708
1.854167,1.776042,1.822917
1.885417,1.765625,1.864583
2.364583,1.927083,2.260417
2.28125,2.15625,2.239583
2.208333,2.03125,2.104167
2.114583,1.96875,2.09375
2.119792,2.0,2.083333
2.114583,2.020833,2.052083
2.25,2.083333,2.166667
2.244792,2.067708,2.15885
2.354167,2.125,2.34375
2.34375,2.197917,2.234375
2.21875,2.114583,2.208333
2.28125,2.208333,2.223958
2.260417,2.203125,2.213542
2.234375,2.208333,2.208333
2.244792,2.135417,2.177083
2.239583,2.197917,2.208333
2.21875,2.114583,2.135417
2.135417,2.0625,2.072917
2.114583,2.03125,2.088542
2.083333,2.010417,2.036458
2.041667,1.958333,2.03125
2.020833,1.958333,1.958333
1.927083,1.744792,1.770833
1.822917,1.666667,1.8125
1.822917,1.645833,1.661458
1.708333,1.395833,1.510417
1.635417,1.510417,1.604167
1.770833,1.604167,1.75
1.854167,1.583333,1.609375
1.71875,1.583333,1.604167
1.635417,1.510417,1.59375
1.651042,1.604167,1.625
1.791667,1.625,1.78125
2.083333,1.770833,1.994792
2.078125,1.854167,1.864583
2.015625,1.791667,1.958333
1.979167,1.854167,1.90625
1.9375,1.875,1.880208
1.859375,1.791667,1.828125
1.833333,1.770833,1.791667
1.791667,1.697917,1.78125
1.786458,1.677083,1.6875
1.739583,1.588542,1.619792
